contador,timestamp,emocion_principal,confianza,segunda_emocion,confianza_segunda
1,2026-03-16 21:57:53,neutral,0.66,triste,0.14
2,2026-03-16 21:57:53,neutral,0.33,miedo,0.29
3,2026-03-16 21:57:54,neutral,0.42,miedo,0.26
4,2026-03-16 21:57:55,neutral,0.76,miedo,0.09
5,2026-03-16 21:57:56,neutral,0.59,miedo,0.15
6,2026-03-16 21:57:57,neutral,0.77,miedo,0.1
7,2026-03-16 21:57:58,neutral,0.59,miedo,0.19
8,2026-03-16 21:57:59,miedo,0.49,triste,0.2
9,2026-03-16 21:58:00,miedo,0.31,neutral,0.28
10,2026-03-16 21:58:01,neutral,0.56,miedo,0.2
11,2026-03-16 21:58:02,neutral,0.43,miedo,0.29
12,2026-03-16 21:58:04,neutral,0.76,triste,0.1
13,2026-03-16 21:58:05,neutral,0.73,triste,0.12
14,2026-03-16 21:58:06,neutral,0.8,triste,0.08
15,2026-03-16 21:58:07,neutral,0.38,miedo,0.26
16,2026-03-16 21:58:08,neutral,0.75,triste,0.12
17,2026-03-16 21:58:09,neutral,0.76,miedo,0.1
18,2026-03-16 21:58:10,neutral,0.66,triste,0.15
19,2026-03-16 21:58:11,neutral,0.79,miedo,0.08
20,2026-03-16 21:58:13,neutral,0.79,triste,0.1
21,2026-03-16 21:58:14,neutral,0.9,triste,0.04
22,2026-03-16 21:58:15,neutral,0.84,triste,0.07
23,2026-03-16 21:58:16,neutral,0.85,miedo,0.06
24,2026-03-16 21:58:17,neutral,0.79,miedo,0.09
25,2026-03-16 21:58:18,neutral,0.7,miedo,0.12
26,2026-03-16 21:58:19,miedo,0.37,neutral,0.21
27,2026-03-16 21:58:20,miedo,0.37,triste,0.21
28,2026-03-16 21:58:21,neutral,0.38,miedo,0.34
29,2026-03-16 21:58:22,neutral,0.42,miedo,0.27
30,2026-03-16 21:58:23,neutral,0.57,miedo,0.22
31,2026-03-16 21:58:24,neutral,0.37,miedo,0.36
32,2026-03-16 21:58:25,neutral,0.75,triste,0.1
33,2026-03-16 21:58:26,neutral,0.74,miedo,0.1
34,2026-03-16 21:58:27,neutral,0.78,triste,0.09
35,2026-03-16 21:58:28,neutral,0.8,miedo,0.07
36,2026-03-16 21:58:29,neutral,0.41,miedo,0.23
37,2026-03-16 21:58:31,miedo,0.5,neutral,0.21
38,2026-03-16 21:58:32,miedo,0.43,neutral,0.23
39,2026-03-16 21:58:33,miedo,0.4,neutral,0.32
40,2026-03-16 21:58:34,neutral,0.39,miedo,0.36
41,2026-03-16 21:58:35,miedo,0.51,neutral,0.26
42,2026-03-16 21:58:36,neutral,0.72,triste,0.13
43,2026-03-16 21:58:37,neutral,0.74,triste,0.12
