contador,timestamp,direccion,retencion,distraccion
1,2026-03-16 21:56:57,frente,1,0
2,2026-03-16 21:56:58,frente,2,0
3,2026-03-16 21:56:59,frente,3,0
4,2026-03-16 21:57:00,arriba,3,1
5,2026-03-16 21:57:01,arriba,3,2
6,2026-03-16 21:57:03,arriba,3,3
7,2026-03-16 21:57:04,frente,4,3
8,2026-03-16 21:57:05,arriba,4,4
9,2026-03-16 21:57:06,arriba,4,5
10,2026-03-16 21:57:07,frente,5,5
11,2026-03-16 21:57:08,derecha,5,6
12,2026-03-16 21:57:09,abajo,5,7
13,2026-03-16 21:57:10,frente,6,7
14,2026-03-16 21:57:11,arriba,6,8
15,2026-03-16 21:57:12,frente,7,8
16,2026-03-16 21:57:13,frente,8,8
17,2026-03-16 21:57:14,arriba,8,9
18,2026-03-16 21:57:15,frente,9,9
19,2026-03-16 21:57:16,frente,10,9
20,2026-03-16 21:57:17,frente,11,9
21,2026-03-16 21:57:18,frente,12,9
22,2026-03-16 21:57:19,frente,13,9
23,2026-03-16 21:57:20,frente,14,9
24,2026-03-16 21:57:21,frente,15,9
25,2026-03-16 21:57:23,frente,16,9
26,2026-03-16 21:57:24,izquierda,16,10
27,2026-03-16 21:57:25,izquierda,16,11
28,2026-03-16 21:57:26,frente,17,11
29,2026-03-16 21:57:27,arriba,17,12
30,2026-03-16 21:57:28,izquierda,17,13
31,2026-03-16 21:57:29,arriba,17,14
32,2026-03-16 21:57:30,arriba,17,15
